name,country,latitude,longitude,Street Adress,price_level,rating,user_ratings_total,province,state
Arby's,US,37.166086,-80.422225,"2650 Market St, Christiansburg, VA 24073",1.0,3.9,763.0, Christiansburg,VA
Burger King,US,37.289041,-78.397491,"1004 S Main St, Farmville, VA 23901",1.0,3.6,496.0, Farmville,VA
Arby's,US,31.88498,-106.418612,"9575 Dyer St, El Paso, TX 79924",1.0,4.3,815.0, El Paso,TX
Pizza Hut,US,29.33102,-96.09457,"2202 N Richmond Rd, Wharton, TX 77488",1.0,3.6,261.0, Wharton,TX
Burger King,US,33.762134,-96.581587,"3120 W Fm 120, Denison, TX 75020",2.0,4.4,361.0, Denison,TX
McDonald's,US,26.243395,-98.4423,"1705 Expressway 83, Penitas, TX 78576",1.0,4.2,565.0, Penitas,TX
Burger King,US,28.70574,-100.48395,"2280 E Garrison St, Eagle Pass, TX 78852",1.0,4.3,446.0, Eagle Pass,TX
Chick-fil-A,US,29.38843,-100.90521,"2207 Veterans Blvd, Del Rio, TX 78840",1.0,4.4,1445.0, Del Rio,TX
Burger King,US,30.69488984,-96.36236943,"2208 Highway 21 E, Bryan, TX 77803",1.0,3.9,487.0, Bryan,TX
Arby's,US,32.563248,-97.322393,"801 Ne Alsbury Blvd, Burleson, TX 76028",1.0,3.7,1087.0, Burleson,TX
Chick-fil-A,US,32.566362,-97.319315,"1105 N Burleson Blvd, Burleson, TX 76028",2.0,4.1,1446.0, Burleson,TX
Burger King,US,29.70529415,-95.4730184,"5301 Bellaire Blvd, Bellaire, TX 77401",1.0,4.0,770.0, Bellaire,TX
Arby's,US,32.405234,-99.764985,"3824 S Clack St, Abilene, TX 79606",1.0,4.2,798.0, Abilene,TX
Pizza Hut,US,28.03704,-97.51219,"210 W Sinton St, Sinton, TX 78387",1.0,4.0,278.0, Sinton,TX
McDonald's,US,40.11117700000001,-75.21414399999998,"1890 Bethlehem Pike, Flourtown, PA 19031",1.0,3.1,703.0, Flourtown,PA
Arby's,US,39.224652,-76.06993,"707 Washington Ave, Chestertown, MD 21620",1.0,3.7,269.0, Chestertown,MD
Arby's,US,28.440040000000003,-81.4037,"8586 S Orange Blossom Trl, Orlando, FL 32809",1.0,3.6,2581.0, Orlando,FL
Burger King,US,39.208926,-76.724769,"6241 Washington Blvd, Elkridge, MD 21075",1.0,3.3,250.0, Elkridge,MD
Arby's,US,40.169035,-74.849233,"505 S Oxford Valley Rd, Fairless Hills, PA 19030",1.0,4.1,556.0, Fairless Hills,PA
Arby's,US,40.164651,-76.154297,"888 E Main St, Ephrata, PA 17522",1.0,4.2,1320.0, Ephrata,PA
Pizza Hut,US,41.01903,-92.43745,"1247 Theatre Dr, Ottumwa, IA 52501",2.0,4.2,26.0, Ottumwa,IA
Arby's,US,36.705143,-81.974501,"470 Cummings St, Abingdon, VA 24210",1.0,4.3,809.0, Abingdon,VA
Burger King,US,40.47425,-78.74575,"285 Jamesway Rd, Ebensburg, PA 15931",2.0,4.4,1163.0, Ebensburg,PA
Arby's,US,42.092031,-80.084087,"4105 Peach St, Erie, PA 16509",1.0,4.2,519.0, Erie,PA
Arby's,US,42.108355,-80.050799,"3720 Pine Ave, Erie, PA 16504",1.0,4.2,604.0, Erie,PA
Burger King,US,39.019712,-84.628729,"4868 Houston Rd, Florence, KY 41042",1.0,3.5,727.0, Florence,KY
Burger King,US,40.509286,-75.385827,"105 S 3rd St, Coopersburg, PA 18036",1.0,3.7,528.0, Coopersburg,PA
Burger King,US,41.049741,-76.252443,"1208 W Front St, Berwick, PA 18603",1.0,3.9,617.0, Berwick,PA
Pizza Hut,US,40.34341,-80.02729000000002,"4960 Library Rd, Bethel Park, PA 15102",1.0,3.8,171.0, Bethel Park,PA
Burger King,US,38.178962,-84.89459599999998,"9 Hudson Hollow Rd, Frankfort, KY 40601",1.0,4.0,524.0, Frankfort,KY
Pizza Hut,US,47.69445,-122.34243,"1110 N 90th St, Seattle, WA 98103",1.0,4.0,8.0, Seattle,WA
Arby's,US,40.021575,-86.90334399999998,"1518 S Washington St, Crawfordsville, IN 47933",1.0,4.0,671.0, Crawfordsville,IN
Pizza Hut,US,42.97331,-88.00820999999998,"3921 S 76th St, Milwaukee, WI 53220",2.0,4.8,154.0, Milwaukee,WI
Pizza Hut,US,41.591667,-85.855147,"1607 Elkhart Rd, Goshen, IN 46526",1.0,3.5,464.0, Goshen,IN
Arby's,US,35.077732,-81.70352700000002,"909 Hyatt St, Gaffney, SC 29341",1.0,3.9,1338.0, Gaffney,SC
Burger King,US,40.83757,-115.78954,"2460 Mountain City Hwy, Elko, NV 89801",1.0,3.8,367.0, Elko,NV
McDonald's,US,40.869655,-72.99981700000002,"313 Middle Country Rd, Coram, NY 11727",1.0,3.5,56.0, Coram,NY
Burger King,US,31.579563,-90.459029,"778 Brookway Blvd, Brookhaven, MS 39601",1.0,3.9,267.0, Brookhaven,MS
Burger King,US,40.68989600000001,-73.408119,"1104 Sunrise Hwy, Amityville, NY 11701",1.0,4.0,545.0, Amityville,NY
McDonald's,US,34.884512,-82.70476,"425 E Main St, Pickens, SC 29671",1.0,3.5,1689.0, Pickens,SC
McDonald's,US,34.966901,-81.929552,"106 Garner Rd, Spartanburg, SC 29303",1.0,3.4,1554.0, Spartanburg,SC
Burger King,US,39.037925,-76.678372,"2619 Brandermill Blvd, Gambrills, MD 21054",1.0,3.5,403.0, Gambrills,MD
McDonald's,US,34.811406,-79.174756,"613 E 4th Ave, Red Springs, NC 28377",1.0,3.8,283.0, Red Springs,NC
Domino's Pizza,US,40.8672,-73.6307,"104 School St, Glen Cove, NY 11542",2.0,4.5,213.0, Glen Cove,NY
Dairy Queen,US,32.499851,-95.596225,"2789 Interstate Highway 20, Van, TX 75790",1.0,4.1,684.0, Van,TX
Dairy Queen,US,28.453429,-96.888108,"111 State Highway 239 E, Tivoli, TX 77990",1.0,3.9,630.0, Tivoli,TX
Dairy Queen,US,31.802884,-95.148673,"1301 N Dickinson Dr, Rusk, TX 75785",1.0,3.7,266.0, Rusk,TX
Dairy Queen,US,29.689434,-97.667085,"900 Highway 80, San Marcos, TX 78666",2.0,4.3,155.0, San Marcos,TX
Dairy Queen,US,29.42306,-98.484173,"849 E Commerce St, San Antonio, TX 78205",3.0,4.4,3479.0, San Antonio,TX
Dairy Queen,US,29.351346000000003,-98.458339,"2282 SE Military Dr, San Antonio, TX 78223",1.0,4.1,2530.0, San Antonio,TX
Hardee's,US,36.875281,-76.038915,"2188 Great Neck Sq, Virginia Beach, VA 23454",1.0,3.9,70.0, Virginia Beach,VA
Hardee's,US,36.869021,-76.291956,"505 W 21st St, Norfolk, VA 23517",2.0,4.5,40.0, Norfolk,VA
Hardee's,US,37.585167,-77.496783,"5000 W Broad St, Richmond, VA 23230",1.0,3.6,1106.0, Richmond,VA
Hardee's,US,37.303452,-79.983783,"3011 Hershberger Rd NW, Roanoke, VA 24017",1.0,3.5,762.0, Roanoke,VA
Hardee's,US,36.836845,-76.308136,"850 London Blvd, Portsmouth, VA 23704",1.0,3.7,482.0, Portsmouth,VA
Hardee's,US,37.048369,-80.759749,"1032 E Main St, Pulaski, VA 24301",1.0,4.6,602.0, Pulaski,VA
Hardee's,US,36.929187,-76.317875,"8405 Hampton Blvd, Norfolk, VA 23505",1.0,3.6,407.0, Norfolk,VA
Hardee's,US,37.131199,-76.532961,"430 Denbigh Blvd, Newport News, VA 23608",1.0,3.6,522.0, Newport News,VA
Hardee's,US,37.365812,-79.172249,"3750 Candlers Mountain Rd, Lynchburg, VA 24502",2.0,4.0,845.0, Lynchburg,VA
