Count of name,Column Labels,,,,,,,,,
Row Labels,Outside Capital City,Within Capital City,Grand Total,,,,,,,
 Chelsea,2,,2,,,,,,,
 Chesapeake,2,,2,,,,,,,
 Cheshire,1,,1,,,,,,,
 Chester,2,,2,,,,,,,
 Chesterfield,2,,2,,,,,,,
 Chesterton,2,,2,,,,,,,
 Chestertown,2,,2,,,,,,,
 Chetek,1,,1,,,,,,,
 Cheyenne,,5,5,,,,,,,
 Chicago,40,,40,,,,,,,
 Chicago Heights,1,,1,,,,,,,
 Chickasha,3,,3,,,,,,,
 Chico,4,,4,,,,,,,
 Chicopee,3,,3,,,,,,,
 Childress,1,,1,,,,,,,
 Chillicothe,2,,2,,,,,,,
 Chino,3,,3,,,,,,,
 Chino Hills,2,,2,,,,,,,
 Chino Valley,1,,1,,,,,,,
 Chipley,1,,1,,,,,,,
 Christiansburg,3,,3,,,,,,,
 Chula Vista,5,,5,,,,,,,
 Church Hill,1,,1,,,,,,,
 Churchville,1,,1,,,,,,,
 Cicero,3,,3,,,,,,,
 Cincinnati,20,,20,,,,,,,
 Circle Pines,2,,2,,,,,,,
 Circleville,4,,4,,,,,,,
 Citrus Heights,8,,8,,,,,,,
 Clare,2,,2,,,,,,,
 Claremont,2,,2,,,,,,,
 Clarion,2,,2,,,,,,,
 Clarkesville,1,,1,,,,,,,
 Clarksburg,2,,2,,,,,,,
 Clarksdale,3,,3,,,,,,,
 Clarkston,2,,2,,,,,,,
 Clarksville,8,,8,,,,,,,
 Claymont,1,,1,,,,,,,
 Clayton,2,,2,,,,,,,
 Clear Lake,1,,1,,,,,,,
 Clearfield,1,,1,,,,,,,
 Clearwater,4,,4,,,,,,,
 Clearwater Beach,1,,1,,,,,,,
 Cleburne,2,,2,,,,,,,
 Clementon,1,,1,,,,,,,
 Clemmons,1,,1,,,,,,,
 Clemson,1,,1,,,,,,,
 Clermont,3,,3,,,,,,,
 Cleveland,29,,29,,,,,,,
 Clifton,1,,1,,,,,,,
 Clifton Park,1,,1,,,,,,,
 Clinton,5,,5,,,,,,,
 Clinton Township,1,,1,,,,,,,
 Clintonville,1,,1,,,,,,,
 Cloquet,1,,1,,,,,,,
 Clover,1,,1,,,,,,,
 Clovis,4,,4,,,,,,,
 Coachella,2,,2,,,,,,,
 Coal City,1,,1,,,,,,,
 Coalinga,3,,3,,,,,,,
 Cobleskill,1,,1,,,,,,,
 Cocoa,2,,2,,,,,,,
 Cody,4,,4,,,,,,,
 Coeur d'Alene,2,,2,,,,,,,
 Coffeyville,1,,1,,,,,,,
 Colchester,1,,1,,,,,,,
 Coldwater,2,,2,,,,,,,
 College Park,1,,1,,,,,,,
 Collierville,1,,1,,,,,,,
 Collinsville,7,,7,,,,,,,
 Colona,1,,1,,,,,,,
 Colonial Heights,1,,1,,,,,,,
 Colorado City,1,,1,,,,,,,
 Colorado Springs,5,,5,,,,,,,
 Colton,3,,3,,,,,,,
 Columbia,15,15,30,,,,,,,
 Columbia City,2,,2,,,,,,,
 Columbus,11,47,58,,,,,,,
 Comanche,1,,1,,,,,,,
 Commack,2,,2,,,,,,,
 Commerce,1,,1,,,,,,,
 Compton,2,,2,,,,,,,
 Comstock Park,1,,1,,,,,,,
 Concord,6,1,7,,,,,,,
 Conifer,2,,2,,,,,,,
 Conley,1,,1,,,,,,,
 Connersville,2,,2,,,,,,,
 Conover,2,,2,,,,,,,
 Conroe,4,,4,,,,,,,
 Converse,2,,2,,,,,,,
 Conway,3,,3,,,,,,,
 Conyers,5,,5,,,,,,,
 Cookeville,4,,4,,,,,,,
 Coopersburg,1,,1,,,,,,,
 Coos Bay,2,,2,,,,,,,
 Copperas Cove,1,,1,,,,,,,
 Coralville,2,,2,,,,,,,
 Coram,1,,1,,,,,,,
 Coraopolis,2,,2,,,,,,,
 Corbin,1,,1,,,,,,,
 Corcoran,1,,1,,,,,,,
 Cordele,1,,1,,,,,,,
 Cordova,1,,1,,,,,,,
 Cornelia,2,,2,,,,,,,
 Cornelius,1,,1,,,,,,,
 Cornersville,1,,1,,,,,,,
 Corona,9,,9,,,,,,,
 Corpus Christi,11,,11,,,,,,,
 Corrigan,1,,1,,,,,,,
 Corsicana,1,,1,,,,,,,
 Cortland,2,,2,,,,,,,
 Corvallis,5,,5,,,,,,,
 Corydon,3,,3,,,,,,,
 Coshocton,1,,1,,,,,,,
 Costa Mesa,8,,8,,,,,,,
 Cottage Grove,1,,1,,,,,,,
 Cottonport,1,,1,,,,,,,
 Cottonwood,1,,1,,,,,,,
 Council Bluffs,2,,2,,,,,,,
 Covina,2,,2,,,,,,,
 Covington,5,,5,,,,,,,
 Cranberry,1,,1,,,,,,,
 Cranberry Township,1,,1,,,,,,,
 Cranston,1,,1,,,,,,,
 Crawfordsville,1,,1,,,,,,,
 Crawfordville,2,,2,,,,,,,
 Crescent City,2,,2,,,,,,,
 Cresson,1,,1,,,,,,,
 Crest Hill,1,,1,,,,,,,
 Creston,1,,1,,,,,,,
 Crestview,3,,3,,,,,,,
 Crete,1,,1,,,,,,,
 Crisfield,1,,1,,,,,,,
 Crofton,1,,1,,,,,,,
 Crossville,1,,1,,,,,,,
 Crowley,1,,1,,,,,,,
 Cuba,1,,1,,,,,,,
 Cuero,2,,2,,,,,,,
 Culpeper,1,,1,,,,,,,
 Culver City,2,,2,,,,,,,
 Cumberland,4,,4,,,,,,,
 Cumming,4,,4,,,,,,,
 Curran,1,,1,,,,,,,
 Cut Bank,1,,1,,,,,,,
 Cut Off,1,,1,,,,,,,
 Cuyahoga Falls,5,,5,,,,,,,
 Cypress,3,,3,,,,,,,
 Dacula,1,,1,,,,,,,
 Dahlonega,1,,1,,,,,,,
 Daingerfield,1,,1,,,,,,,
 Daleville,1,,1,,,,,,,
 Dallas,49,,49,,,,,,,
 Dalton,9,,9,,,,,,,
 Daly City,4,,4,,,,,,,
 Dana Point,3,,3,,,,,,,
 Dansville,1,,1,,,,,,,
 Danvers,2,,2,,,,,,,
 Danville,4,,4,,,,,,,
 Dardanelle,1,,1,,,,,,,
 Darien,1,,1,,,,,,,
 Darlington,1,,1,,,,,,,
 Davenport,7,,7,,,,,,,
 Davis,2,,2,,,,,,,
 Davison,2,,2,,,,,,,
 Dayton,20,,20,,,,,,,
 Daytona Beach,4,,4,,,,,,,
 De Pere,2,,2,,,,,,,
 De Soto,1,,1,,,,,,,
 Dearborn,1,,1,,,,,,,
 Dearborn Heights,2,,2,,,,,,,
 Decatur,10,,10,,,,,,,
 Decherd,1,,1,,,,,,,
 Deer Lodge,1,,1,,,,,,,
 Deer Park,1,,1,,,,,,,
 Deerfield Beach,2,,2,,,,,,,
 Defiance,2,,2,,,,,,,
 DeFuniak Springs,3,,3,,,,,,,
 DeKalb,4,,4,,,,,,,
 Del Rio,4,,4,,,,,,,
 Delafield,3,,3,,,,,,,
 DeLand,4,,4,,,,,,,
 Delavan,2,,2,,,,,,,
 Delaware,5,,5,,,,,,,
 Delmar,1,,1,,,,,,,
 Delray Beach,1,,1,,,,,,,
 Delta,1,,1,,,,,,,
 Deltona,3,,3,,,,,,,
 Deming,1,,1,,,,,,,
 Denham Springs,1,,1,,,,,,,
 Denison,2,,2,,,,,,,
 Denton,4,,4,,,,,,,
 Denver,1,33,34,,,,,,,
 Depew,1,,1,,,,,,,
 DeRidder,2,,2,,,,,,,
 Derry,2,,2,,,,,,,
 Des Moines,,9,9,,,,,,,
 Des Plaines,2,,2,,,,,,,
 Destrehan,1,,1,,,,,,,
 Detroit,11,,11,,,,,,,
 Detroit Lakes,1,,1,,,,,,,
 Devils Lake,1,,1,,,,,,,
 Devon,1,,1,,,,,,,
 Dexter,2,,2,,,,,,,
 Diamond Bar,2,,2,,,,,,,
 Dickinson,4,,4,,,,,,,
 Dickson,2,,2,,,,,,,
 Dillon,1,,1,,,,,,,
 Dillsburg,1,,1,,,,,,,
 Dinuba,1,,1,,,,,,,
 District Heights,1,,1,,,,,,,
 Dixon,3,,3,,,,,,,
 Dodge City,3,,3,,,,,,,
 Dolton,1,,1,,,,,,,
 Dorchester,2,,2,,,,,,,
 Douglas,1,,1,,,,,,,
 Douglasville,7,,7,,,,,,,
 Dover,,1,1,,,,,,,
 Dover Plains,1,,1,,,,,,,
 Dowagiac,1,,1,,,,,,,
 Downers Grove,4,,4,,,,,,,
 Downey,3,,3,,,,,,,
 Doylestown,1,,1,,,,,,,
 Dracut,1,,1,,,,,,,
 Draper,5,,5,,,,,,,
 Dresden,1,,1,,,,,,,
 Dripping Springs,1,,1,,,,,,,
 Duarte,3,,3,,,,,,,
 Dublin,5,,5,,,,,,,
 Dubuque,3,,3,,,,,,,
 Duluth,9,,9,,,,,,,
 Dumas,1,,1,,,,,,,
 Dumfries,1,,1,,,,,,,
 Duncan,4,,4,,,,,,,
 Duncanville,2,,2,,,,,,,
 Dundalk,2,,2,,,,,,,
 Dundee,2,,2,,,,,,,
 Dunedin,1,,1,,,,,,,
 Dunlap,1,,1,,,,,,,
 Dunn,3,,3,,,,,,,
 Durango,2,,2,,,,,,,
 Durant,2,,2,,,,,,,
 Durham,9,,9,,,,,,,
 Dwight,1,,1,,,,,,,
 Dyersburg,2,,2,,,,,,,
 Eagle,2,,2,,,,,,,
 Eagle Pass,1,,1,,,,,,,
 Eagle River,1,,1,,,,,,,
 Early,1,,1,,,,,,,
 Easley,3,,3,,,,,,,
 East Alton,2,,2,,,,,,,
 East Aurora,1,,1,,,,,,,
 East Bernard,1,,1,,,,,,,
 East Brunswick,1,,1,,,,,,,
 East Greenwich,1,,1,,,,,,,
 East Hanover,1,,1,,,,,,,
 East Lansing,2,,2,,,,,,,
 East Liverpool,1,,1,,,,,,,
 East Meadow,1,,1,,,,,,,
 East Northport,1,,1,,,,,,,
 East Orange,1,,1,,,,,,,
 East Peoria,2,,2,,,,,,,
 East Saint Louis,1,,1,,,,,,,
 East Wareham,4,,4,,,,,,,
 East Wenatchee,1,,1,,,,,,,
 Eastland,2,,2,,,,,,,
 Easton,1,,1,,,,,,,
 Eaton Rapids,1,,1,,,,,,,
 Eatonton,1,,1,,,,,,,
 Eau Claire,8,,8,,,,,,,
 Ebensburg,1,,1,,,,,,,
 Ecorse,1,,1,,,,,,,
 Eddyville,1,,1,,,,,,,
 Eden,1,,1,,,,,,,
 Eden Prairie,1,,1,,,,,,,
 Edgewater,4,,4,,,,,,,
 Edgewood,1,,1,,,,,,,
 Edinburg,2,,2,,,,,,,
 Edison,2,,2,,,,,,,
 Edmond,4,,4,,,,,,,
