,Unnamed: 0,address,categories,city,country,latitude,longitude,name,postalCode,province,websites
9193,9193,4642 Mahoning Ave,Fast Food Restaurant,Youngstown,US,41.1009,-80.742,KFC,44515,OH,"http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJFtzGYXKt9S0sSria4mdS28Y03QV-VrndlF1o-LEHftGzTEoha_S1yPCfeQ7a2H7daPg5dhRIUlYuNW1vVpD4K1KgluIbpM90RDbGn_WPN31_EKJruYHIhW8aIgdm_H7AFEnXl9jlDdx3xaUd1w8oGvyqYYJx0sBFMoySuqUHCYjJ6xR8bnqc9Qpn5BsF-Uv37nEr9A8zjNrhtI1fkGZowftJmSULdkDX4PLugtdenTidl5hLXTbynViiDrdvp_3uQq2-fIaQ3gjw46I8h76VkCJxDr4avg3aqthSL1jCACNdwFps-yRygNslm8a3PjTwZlvuVJJPZ3G-EjgzGl3tRQ&placement=listing_profile&cs_user=unknown&cs_session=ad242cd1cda02fba16a82be6bfb013dcba8c333a,http://kfc.com,http://www.kfc.com"
9219,9219,92 Saint Georges Ave,Fried Chicken Joint and Fast Food Restaurant,Rahway,US,40.5925,-74.2909,KFC,7065,NJ,"http://kfc.com,http://www.kfc.com"
9224,9224,2170 W Ryan Rd,Fast Food Restaurants,Oak Creek,US,42.87265,-87.94442,KFC,53154,WI,http://www.kfc.com
9228,9228,171 N Wells St,Fast Food Restaurant,Lake Geneva,US,42.5915,-88.4301,KFC,53147,WI,"http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJYm_ZforbLAbTeBtvjm7mHZcKMwUswQl4uB1cbtHmXY0wlROzSALxROH47iyxetAd48r9WmBiFPNN606xK7TajzN251eYqDePzhvCXIoifG-tKSR1PVoTJELAa6ItX1UJIbZBqL-8YfzyXbcTHqUdoRfi6E20lHsz6x8x-0ppQjA-V29bntdnL7uxFU74I3BnCXxt8V4BTR4HQVufxU7WfFDhlr3MGAq-R0yLjJcD-3XhWRehMwZaicyXHppgYfu-9kCorzGDB03tIbIHb9vV20HymyNh2KrkpGxbj6NAZ_daQF8VQImCxG4DUbb3Rpfzs3lwloI2fzTeZXlPmmd2vA&placement=listing_profile&cs_user=unknown&cs_session=e464f0793f04ab514e7cd1c003a1a218a28ee43d,http://www.kfc.com"
9233,9233,6810 S 27th St,Fast Food Restaurant,Lincoln,US,40.74107,-96.68236999999999,Chick-fil-A,68512,NE,"http://chick-fil-a.com/southpointepavilions,http://www.chick-fil-a.com,http://www.chick-fil-a.com/southpointepavilions"
9237,9237,24400 E Smoky Hill Rd,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Aurora,US,39.59588,-104.70392,Chick-fil-A,80016,CO,"http://www.chick-fil-a.com/,http://www.chick-fil-a.com/southlands"
9238,9238,2010 Bloomingdale Ave,Fast Food Restaurant,Valrico,US,27.8938,-82.2367,Chick-fil-A,33596,FL,"http://www.chick-fil-a.com/brandonsouth,http://www.chick-fil-a.com"
9239,9239,7500 W 135th St,Fast Food Restaurant,Overland Park,US,38.883984000000005,-94.671814,Chick-fil-A,66223,KS,http://www.chick-fil-a.com/135thand69hwyfsu
9241,9241,17501 W Center Rd,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Omaha,US,41.23409,-96.18854,Chick-fil-A,68130,NE,"http://chick-fil-a.com/legacyvillage,http://www.chick-fil-a.com/legacyvillage"
9242,9242,1800 S Federal Hwy,Fast Food Restaurant,Delray Beach,US,26.4394,-80.072,Chick-fil-A,33483,FL,"http://www.chick-fil-a.com/delraybeach,http://chick-fil-a.com/delraybeach"
